pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
2.10208,642.0,21.745537,5704.0,0.93,4.51,PC
,,1.32003,,,,FP
,,1.6865822,,,,FP
35.7944,1074.0,13.0727479,5709.8,3.59,3.37,FP
24.4055,2066.0,2.9258727,4884.5,1.3,,FP
5.28215,,0.73774,6449.5,2.1,3.94,FP
11.9514993,1089.1458169,2.7985802,4920.0,0.906655,4.49371,KP
,,2.3664127,,,,FP
,2608.0,1.7635881,7986.1,,,KP
,1647.0,7.3166682,8730.0,,,PC
,1827.6445751,3.0771612,9311.3,,,PC
,,3.2077145,,,,FP
14.688,1348.0,2.2552845,5787.0,0.96,4.5,KP
8.29008,3091.0,1.8824539,5900.4,1.13,4.39,FP
4.96345,,15.196,5807.0,1.14,,FP
23.6019,1745.0,2.1358631,5969.0,1.5,4.17,FP
17.4647,1079.0,6.7075429,6134.3,1.24,,PC
16.4747611,1658.3915202,3.5862962,5704.8,2.00441,3.84,KP
29.3616,3751.0,1.8296155,7875.0,3.5,3.61,FP
31.8624,1499.0,11.1876137,7266.0,2.05,4.06,FP
,,7.8513734,,,,FP
2.04421,2462.0,1.9142544,6734.0,1.59,4.18582,PC
2.6347763,431.253644,5.0780325,3318.0,0.334125,4.9581,CP
8.2807306,685.259664,70.3607265,6308.0,2.0982201,3.98679,APC
3.239855,399.0780255,91.6827832,5802.0,1.01814,4.44521,CP
2.7392825,994.4291411,10.1944993,6082.0,1.32661,4.33287,PC
3.41248,1134.2791474,14.64319,6516.0,2.04178,3.99366,FP
2.1023854,492.7241583,4.1782656,3442.0,0.404403,4.893,CP
3.3839124,303.1226876,17.9453645,3442.0,0.404403,4.893,CP
2.4586343,686.1495861,13.896396,5522.87,0.888163,4.67156,PC
2.3157186,820.6868999,8.1213102,5522.87,0.888163,4.67156,PC
2.329279,1123.4398689,3.9287851,5668.15,0.986943,4.52573,PC
6.4522449,243.7718547,27.3613778,3050.0,0.44128,4.438,CP
2.84674,1115.0,29.0497517,8208.0,1.8,4.25979,CP
21.6314984,672.8454841,31.8132264,6028.84,1.98893,3.96199,APC
24.9862,3184.0,3.3088922,6188.0,2.62,4.27166,CP
3.2396838,688.6094029,25.0571312,5696.0,1.15281,4.26563,CP
3.878568,122.2177444,24.2454967,3535.0,0.465271,4.84874,CP
10.7048234,785.7055082,14.2545623,5739.0,1.09597,4.28235,PC
2.6231641,690.9961983,14.1758947,5723.87,0.864173,4.438,CP
3.0026428,620.3638839,19.5901578,5723.87,0.864173,4.438,CP
2.056748,910.1452592,6.2036219,5723.87,0.864173,4.438,CP
1.553135,1072.0653989,3.79589,5723.87,0.864173,4.438,CP
5.1936764,616.7174475,2.2645386,3443.0,0.411471,4.81617,FP
2.00495,1086.0,3.4447015,3912.0,0.63,4.62642,CP
12.7529892,1077.4145935,3.0300715,5242.82,0.857369,4.52404,KP
4.96046,705.0,12.72038,6212.0,1.48,4.17664,KP
2.9728283,1255.4607699,6.238755,6212.0,1.47768,4.17664,KP
2.36106,719.0,3.2947591,3853.0,0.62,4.63168,PC
1.33541,1244.0,0.7645787,3853.0,0.62,4.63168,PC
4.6025162,640.0266601,12.6396982,5217.0,0.789425,4.59186,CP
21.2705,1785.0,1.8428078,5080.0,4.09,4.48159,APC
13.4646314,1758.3994294,1.7208555,5832.83,1.33402,4.20893,KP
1.881684,1999.3796659,0.831542,5824.0,1.1512,4.438,FP
0.9817044,1418.1144376,2.6282553,6282.0,1.10743,4.37809,PC
1.7581475,1056.3800546,3.4239436,5626.0,0.823019,4.56195,PC
2.5070075,716.2888325,10.983042,5626.0,0.823019,4.56195,PC
2.261664,610.6445415,17.726449,5626.0,0.823019,4.56195,PC
3.2352713,668.3063106,40.7199388,5914.0,1.55953,3.98,PC
15.3936,928.0,14.7741056,6053.0,1.23,4.3135,APC
2.17454,368.0,79.3739596,5168.33,0.77,4.60584,FP
2.80447,562.0,18.1663644,5572.9,1.14,3.83,PC
2.5033335,429.5758177,105.5850893,5909.57,1.1142,4.26154,PC
